    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
 1000.0    124     0      0                                                    
  992.0    171    8.0    4.4     78   5.31    270     12  281.8  296.7  282.7
  986.0    223    7.2    3.2     76   4.91    278     13  281.5  295.3  282.3
  942.0    610    4.0    3.0     93   5.08    340     18  281.9  296.2  282.8
  934.0    682    3.4    3.0     97   5.11    359     11  282.0  296.4  282.9
  930.0    718    4.6    4.5     99   5.71      8      7  283.6  299.6  284.6
  925.0    764    7.2    7.1     99   6.88     20      2  286.7  306.1  287.9
  920.0    809    9.6    9.4     99   8.11     41      2  289.6  312.7  291.0
  913.0    873   14.0   13.6     97  10.83     71      1  294.7  326.0  296.6
  908.5    914   14.9   14.8    100  11.82     90      1  296.0  330.3  298.1
  908.0    919   15.0   15.0    100  11.94     91      1  296.2  330.8  298.3
  903.0    966   15.0   15.0    100  12.01    102      3  296.7  331.6  298.8
  853.0   1446   12.4   12.4    100  10.71    212     19  298.8  330.3  300.8
  850.0   1476   12.2   12.1     99  10.54    219     20  298.9  329.9  300.8
  846.0   1516   12.0   11.9     99  10.45    228     22  299.1  329.9  301.0
  845.1   1524   12.0   11.8     99  10.38    230     22  299.1  329.7  301.0
  823.0   1747   11.0    9.0     87   8.83    230     23  300.4  326.7  302.0
  814.9   1829   10.9    8.6     85   8.66    230     24  301.2  327.1  302.8
  800.0   1983   10.8    7.8     82   8.36    227     27  302.6  327.8  304.2
  785.7   2134   10.8    3.6     61   6.34    225     29  304.2  323.6  305.4
  783.0   2163   10.8    2.8     58   6.01    225     29  304.5  323.0  305.6
  757.2   2438    8.5    0.5     57   5.28    220     29  305.0  321.4  306.0
  729.7   2743    6.0   -2.0     56   4.56    220     32  305.5  319.8  306.3
  708.0   2992    4.0   -4.0     56   4.04    216     32  305.9  318.6  306.6
  700.0   3084    3.2   -2.8     65   4.47    215     32  306.0  320.0  306.8
  692.0   3177    2.4   -2.6     70   4.59    214     32  306.1  320.5  307.0
  666.0   3486   -0.1   -4.2     74   4.23    212     31  306.7  320.0  307.5
  651.9   3658   -1.5   -2.9     90   4.77    210     31  307.0  321.9  307.9
  650.0   3681   -1.7   -2.7     93   4.85    211     32  307.0  322.2  307.9
  640.0   3805   -2.1   -2.3     99   5.08    215     36  307.9  323.8  308.9
  626.0   3981   -3.3   -4.2     93   4.50    221     41  308.5  322.7  309.3
  603.8   4267   -3.5   -3.8     97   4.80    230     50  311.5  326.8  312.4
  602.0   4291   -3.5   -3.8     98   4.82    230     51  311.7  327.1  312.6
  558.7   4877   -6.6   -6.9     97   4.09    235     64  314.8  328.2  315.6
  537.4   5182   -8.2   -8.6     97   3.75    235     72  316.4  328.8  317.1
  533.0   5247   -8.5   -8.9     97   3.68    235     72  316.8  328.9  317.5
  510.0   5588  -11.7  -14.5     80   2.45    235     74  316.9  325.2  317.4
  500.0   5740  -12.5  -14.8     83   2.44    235     75  317.7  326.0  318.2
  497.0   5786  -12.7  -14.8     84   2.45    236     75  318.0  326.4  318.5
  488.0   5925  -14.1  -17.2     77   2.05    238     77  318.0  325.0  318.4
  477.1   6096  -14.7  -16.9     83   2.15    240     78  319.3  326.6  319.7
  460.0   6372  -15.7  -16.4     94   2.32    238     80  321.4  329.4  321.9
  451.0   6521  -16.5  -17.9     89   2.09    237     81  322.2  329.5  322.6
  436.0   6774  -18.1  -19.5     89   1.88    235     82  323.3  329.9  323.7
  418.0   7087  -21.1  -25.8     66   1.12    233     84  323.4  327.4  323.6
  400.0   7410  -23.5  -28.0     66   0.96    230     86  324.4  327.9  324.6
  388.7   7620  -24.2  -26.3     83   1.15    230     85  326.1  330.2  326.3
  385.0   7689  -24.5  -25.8     89   1.22    229     86  326.6  331.1  326.9
  378.0   7823  -25.1  -26.0     92   1.22    228     87  327.5  332.0  327.8
  364.0   8096  -27.1  -30.0     76   0.88    226     90  328.4  331.7  328.6
  357.2   8230  -28.1  -31.0     76   0.81    225     91  328.8  331.9  329.0
  313.9   9144  -35.2  -37.8     77   0.47    240     99  331.4  333.2  331.5
  312.0   9188  -35.5  -38.1     77   0.46    240    100  331.5  333.3  331.6
  300.5   9449  -37.0  -40.1     73   0.39    240    108  332.9  334.4  333.0
  300.0   9460  -37.1  -40.2     73   0.39    240    107  333.0  334.5  333.0
  298.0   9506  -37.3  -40.3     73   0.38    240    107  333.3  334.9  333.4
  288.0   9741  -39.3  -44.1     60   0.27    240    106  333.7  334.8  333.8
  276.0  10030  -41.9  -46.4     61   0.22    240    105  334.1  334.9  334.1
  255.0  10559  -46.7  -53.7     45   0.10    240    103  334.6  335.0  334.6
  250.0  10690  -48.1  -55.1     44   0.09    240    103  334.4  334.8  334.4
  241.0  10929  -50.3  -55.1     57   0.09    241    105  334.6  335.0  334.7
  208.0  11867  -59.3  -66.3     40   0.02    244    111  334.9  335.0  334.9
  200.0  12110  -61.7  -67.7     45   0.02    245    113  334.9  335.0  334.9
  196.0  12235  -62.5  -68.5     44   0.02    245    114  335.6  335.6  335.6
  189.0  12461  -61.6  -67.6     45   0.02    255    116  340.5  340.6  340.5
  188.0  12494  -61.5  -67.5     45   0.02    255    116  341.2  341.3  341.2
  187.9  12497  -61.5  -67.5     45   0.02    255    116  341.2  341.3  341.2
  176.0  12902  -63.7  -70.7     38   0.02    248     93  344.1  344.1  344.1
  174.0  12973  -61.5  -69.5     34   0.02    247     89  348.8  348.9  348.8
  170.3  13106  -62.4  -71.1     30   0.02    245     82  349.5  349.6  349.5
  169.0  13153  -62.7  -71.7     29   0.01    245     83  349.8  349.8  349.8
  167.0  13227  -61.7  -71.7     25   0.01    244     84  352.6  352.7  352.6
  158.0  13569  -64.1  -76.1     18   0.01    241     90  354.2  354.2  354.2
  154.3  13716  -62.8  -75.7     16   0.01    240     92  358.8  358.8  358.8
  154.0  13727  -62.7  -75.7     16   0.01    240     92  359.2  359.2  359.2
  150.0  13890  -63.3  -76.3     16   0.01    240     89  360.8  360.9  360.8
  145.0  14098  -63.9  -77.9     13   0.01    239     81  363.3  363.3  363.3
  137.0  14443  -66.3  -80.3     12   0.00    237     67  365.0  365.0  365.0
  129.0  14806  -66.9  -80.9     12   0.00    236     53  370.3  370.3  370.3
  126.3  14935  -68.0  -81.4     13   0.00    235     48  370.6  370.6  370.6
  124.0  15044  -68.9  -81.9     14   0.00    225     50  370.8  370.9  370.8
  123.0  15092  -67.5  -80.5     14   0.01    225     51  374.2  374.3  374.2
  120.0  15241  -66.5  -80.5     12   0.01    225     55  378.7  378.8  378.7
  120.0  15240  -66.5  -80.5     12   0.01    225     55  378.7  378.7  378.7
  115.0  15499  -65.7  -79.7     13   0.01    227     55  384.8  384.9  384.9
  110.0  15767  -67.3  -81.3     12   0.00    230     55  386.8  386.8  386.8
  108.0  15878  -66.3  -80.3     12   0.01    231     56  390.7  390.7  390.7
  100.0  16340  -69.5  -82.5     14   0.00    235     56  393.2  393.2  393.2
   98.4  16436  -69.7  -82.7     14   0.00    235     61  394.6  394.6  394.6
   98.0  16459  -69.4  -82.6     13   0.00    235     62  395.6  395.6  395.6
   96.9  16529  -68.6  -82.3     12   0.00    235     62  398.4  398.4  398.4
   91.5  16874  -64.7  -80.7      9   0.01    250     54  412.8  412.8  412.8
   84.9  17328  -66.7  -81.7     10   0.01    270     45  417.7  417.7  417.7
   82.2  17525  -63.5  -80.5      8   0.01    278     40  428.1  428.1  428.1
   80.2  17678  -64.1  -80.8      9   0.01    285     37  429.9  429.9  429.9
   76.2  17983  -65.4  -81.4      9   0.01    285     20  433.5  433.6  433.5
   72.5  18288  -66.6  -82.1     10   0.01    245     10  437.1  437.2  437.1
   70.0  18500  -67.5  -82.5     10   0.01    205     16  439.6  439.7  439.6
   69.6  18535  -67.7  -82.7     10   0.01    205     16  439.9  440.0  439.9
   68.9  18593  -67.5  -82.7     10   0.01    205     15  441.6  441.7  441.6
   66.6  18801  -66.7  -82.7      9   0.01    229     15  447.7  447.7  447.7
   65.5  18898  -67.1  -82.9      9   0.01    240     15  448.8  448.9  448.8
   62.3  19202  -68.4  -83.5     10   0.01    220     21  452.5  452.5  452.5
   62.1  19224  -68.5  -83.5     10   0.01    222     21  452.7  452.8  452.7
   61.1  19322  -66.3  -82.3      9   0.01    230     19  459.7  459.8  459.7
   56.4  19811  -64.3  -81.3      8   0.01    273     11  474.9  475.0  474.9
   54.1  20066  -65.3  -81.3      9   0.01    294      7  478.3  478.4  478.3
   51.0  20422  -63.6  -80.5      8   0.01    325      1  490.2  490.3  490.2
   50.5  20489  -63.3  -80.3      8   0.01      7      4  492.5  492.6  492.5
   50.0  20550  -63.7  -80.7      8   0.01     45      6  492.9  493.0  492.9
   48.6  20726  -63.7  -80.7      8   0.01     65     14  497.0  497.1  497.0
   46.2  21031  -63.7  -80.7      8   0.01    115     11  504.1  504.2  504.1
   46.0  21060  -63.7  -80.7      8   0.01    112     11  504.8  504.9  504.8
   44.0  21336  -62.4  -80.3      7   0.01     85     10  514.6  514.7  514.6
   41.9  21641  -60.9  -79.9      6   0.02    105     20  525.5  525.7  525.5
   41.9  21636  -60.9  -79.9      6   0.02    105     20  525.4  525.5  525.4
   38.0  22250  -61.1  -79.2      7   0.02    100     19  540.1  540.2  540.1
   37.3  22357  -61.1  -79.1      8   0.02    102     21  542.6  542.8  542.7
   35.4  22683  -58.5  -77.5      7   0.03    107     27  557.6  557.8  557.6
   34.4  22860  -58.5  -77.2      7   0.03    110     30  562.1  562.3  562.1
