00Z 01 01 2017,0.00,3.89
12Z 01 01 2017,0.00,4.93
00Z 02 01 2017,0.00,4.80
12Z 02 01 2017,0.00,4.45
00Z 03 01 2017,0.00,4.75
12Z 03 01 2017,0.00,4.72
00Z 04 01 2017,0.00,6.20
12Z 04 01 2017,0.00,9.98
00Z 05 01 2017,0.00,10.33
12Z 05 01 2017,0.00,6.13
00Z 06 01 2017,0.00,1.19
12Z 06 01 2017,0.00,1.18
00Z 07 01 2017,0.00,1.51
12Z 07 01 2017,0.00,6.42
00Z 08 01 2017,0.00,8.77
12Z 08 01 2017,0.00,13.41
00Z 09 01 2017,0.00,13.67
12Z 09 01 2017,0.00,13.30
00Z 10 01 2017,38.09,5.03
12Z 10 01 2017,0.00,9.09
00Z 11 01 2017,0.00,9.41
12Z 11 01 2017,8.81,9.09
00Z 12 01 2017,0.00,7.40
12Z 12 01 2017,0.00,6.69
00Z 13 01 2017,0.00,7.22
12Z 13 01 2017,0.00,7.52
00Z 14 01 2017,0.00,5.08
12Z 14 01 2017,0.00,4.84
00Z 15 01 2017,0.00,4.52
12Z 15 01 2017,0.00,4.01
00Z 16 01 2017,0.00,4.04
12Z 16 01 2017,0.00,3.34
00Z 17 01 2017,0.00,3.48
12Z 17 01 2017,0.00,3.69
00Z 18 01 2017,0.00,4.05
12Z 18 01 2017,0.00,6.82
00Z 19 01 2017,0.00,11.71
12Z 19 01 2017,0.00,10.61
00Z 20 01 2017,49.91,6.95
12Z 20 01 2017,0.00,6.52
00Z 21 01 2017,0.00,7.65
12Z 21 01 2017,0.00,6.20
00Z 22 01 2017,1.99,5.11
12Z 22 01 2017,0.00,5.59
00Z 23 01 2017,0.00,9.20
12Z 23 01 2017,0.00,8.42
00Z 24 01 2017,0.00,4.33
12Z 24 01 2017,0.00,4.14
00Z 25 01 2017,0.00,4.43
12Z 25 01 2017,0.00,4.09
00Z 26 01 2017,6.58,3.91
12Z 26 01 2017,0.00,4.24
00Z 27 01 2017,0.00,3.86
12Z 27 01 2017,0.00,4.29
00Z 28 01 2017,0.00,3.31
12Z 28 01 2017,0.00,3.98
00Z 29 01 2017,0.00,4.66
12Z 29 01 2017,0.00,5.39
00Z 30 01 2017,0.00,4.05
12Z 30 01 2017,0.00,4.97
00Z 31 01 2017,0.00,5.04
12Z 31 01 2017,0.00,3.31
00Z 01 02 2017,0.00,5.30
12Z 01 02 2017,0.00,4.17
00Z 02 02 2017,0.00,4.03
12Z 02 02 2017,0.00,8.24
00Z 03 02 2017,0.00,9.31
12Z 03 02 2017,0.00,7.57
00Z 04 02 2017,0.00,8.86
12Z 04 02 2017,0.00,7.57
00Z 05 02 2017,0.00,8.67
12Z 05 02 2017,0.00,8.67
00Z 06 02 2017,0.00,7.29
12Z 06 02 2017,0.00,7.69
00Z 07 02 2017,43.38,9.04
12Z 07 02 2017,0.00,12.83
00Z 08 02 2017,64.54,9.71
12Z 08 02 2017,0.00,6.55
00Z 09 02 2017,0.00,15.50
12Z 09 02 2017,0.00,14.24
00Z 10 02 2017,0.00,14.71
12Z 10 02 2017,0.00,14.26
00Z 11 02 2017,0.00,12.54
12Z 11 02 2017,0.00,8.43
00Z 12 02 2017,0.00,3.05
12Z 12 02 2017,0.00,1.39
00Z 13 02 2017,0.00,1.85
12Z 13 02 2017,0.00,2.49
00Z 14 02 2017,0.00,4.00
12Z 14 02 2017,0.00,2.99
00Z 15 02 2017,0.00,3.74
12Z 15 02 2017,0.00,3.48
00Z 16 02 2017,0.00,3.71
12Z 16 02 2017,0.00,10.56
00Z 17 02 2017,0.00,4.98
12Z 17 02 2017,0.00,6.04
00Z 18 02 2017,0.00,11.15
12Z 18 02 2017,0.00,10.54
00Z 19 02 2017,0.03,11.30
12Z 19 02 2017,4.26,9.80
00Z 20 02 2017,22.54,6.32
12Z 20 02 2017,0.00,9.94
00Z 21 02 2017,0.00,12.80
12Z 21 02 2017,0.00,9.09
00Z 22 02 2017,0.97,8.74
12Z 22 02 2017,0.00,6.76
00Z 23 02 2017,46.79,4.25
12Z 23 02 2017,0.00,4.09
00Z 24 02 2017,4.79,3.64
12Z 24 02 2017,0.00,3.27
00Z 25 02 2017,5.85,2.27
12Z 25 02 2017,0.00,3.54
00Z 26 02 2017,0.00,2.43
12Z 26 02 2017,0.00,3.08
00Z 27 02 2017,0.00,3.78
12Z 27 02 2017,0.00,5.47
00Z 28 02 2017,2.14,2.43
12Z 28 02 2017,0.00,3.62
00Z 01 03 2017,0.00,3.05
12Z 01 03 2017,0.00,3.96
00Z 02 03 2017,0.00,4.10
12Z 02 03 2017,0.00,3.98
00Z 03 03 2017,0.00,3.06
12Z 03 03 2017,0.00,2.67
00Z 04 03 2017,0.00,3.01
12Z 04 03 2017,0.00,3.54
00Z 05 03 2017,19.10,4.78
12Z 05 03 2017,0.00,3.66
00Z 06 03 2017,0.12,5.35
12Z 06 03 2017,0.06,3.06
00Z 07 03 2017,0.00,4.13
12Z 07 03 2017,0.00,6.07
00Z 08 03 2017,0.00,10.92
12Z 08 03 2017,0.00,10.69
00Z 09 03 2017,0.00,9.03
12Z 09 03 2017,0.00,10.39
00Z 10 03 2017,0.00,10.30
12Z 10 03 2017,0.00,11.03
00Z 11 03 2017,0.00,11.51
12Z 11 03 2017,0.00,8.09
00Z 12 03 2017,0.00,6.76
12Z 12 03 2017,0.00,8.05
00Z 13 03 2017,0.00,7.67
12Z 13 03 2017,0.00,8.17
00Z 14 03 2017,0.00,5.32
